epoch,train_loss,val_loss,val_perplexity
1,190.986055,,
2,94.454805,163.576875,inf
3,22.652674,41.023614,5785039177291097088.000000
4,9.493144,12.251302,587820.186298
5,6.678876,7.689072,4215.113314
6,5.329009,5.941917,549.171116
7,4.513656,4.871334,166.215493
8,4.017546,4.323195,90.269298
9,3.629525,3.822326,53.115930
10,3.347522,3.449770,36.042540
11,3.129568,3.305852,31.049520
12,2.941888,3.006044,22.786001
13,2.802790,2.916254,20.732264
14,2.685821,2.800869,18.439643
15,2.615442,2.672065,16.060360
16,2.568618,2.626243,15.342790
17,2.519822,2.609356,14.962579
18,2.479321,2.570792,14.382373
19,2.469229,2.546612,14.048310
20,2.464080,2.549912,14.101750
